Timestamp,Year of Study,"When you are given a task with unclear instructions, what do you usually do?  ","If a deadline is very close and something unexpected happens, how do you respond?  ",How comfortable are you taking responsibility for a decision that might go wrong?  ,"When working in a team, how do you handle dependency on others’ work?  ","If you make a mistake in an important task, what is your first reaction?  ",How do you usually handle multiple tasks with changing priorities?  ,"When faced with a new or unfamiliar problem, what is your approach?  ",How do you usually communicate delays or issues to others? 
2/10/2026 17:07:47,2nd,Try to figure it out without asking,Focus only on finishing somehow,Slightly uncomfortable,Actively coordinate and unblock,Fix silently,Confidently re-prioritize,Learn quickly and solve,Communicate early
2/10/2026 17:13:40,1st,Ask immediately and proceed,Re-plan and communicate clearly,Very comfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Adjust priorities,Wait for guidance,Communicate early with solutions
2/10/2026 17:17:08,1st,Try to figure it out without asking,Re-plan and communicate clearly,Slightly uncomfortable,Actively coordinate and unblock,Fix silently,Adjust priorities,Try basic solutions,Communicate when asked
2/10/2026 17:17:19,2nd,Wait for someone else to clarify,Adjust plan partially,Comfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Miss some tasks,Wait for guidance,Communicate when asked
2/10/2026 17:20:12,2nd,Clarify and suggest an approach,Re-prioritize tasks calmly,Slightly uncomfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Confidently re-prioritize,Learn and attempt,Communicate early with solutions
2/10/2026 17:21:06,2nd,Try to figure it out without asking,Panic and slow down,Comfortable,Plan around dependencies,"Inform, fix, and prevent recurrence",Adjust priorities,Learn and attempt,Communicate early
2/10/2026 17:25:06,1st,Try to figure it out without asking,Adjust plan partially,Slightly uncomfortable,Plan around dependencies,Fix silently,Get confused,Wait for guidance,Communicate early with solutions
2/10/2026 17:31:59,2nd,Try to figure it out without asking,Re-plan and communicate clearly,Comfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Adjust priorities,Learn and attempt,Communicate early with solutions
2/10/2026 17:35:51,4th,Clarify and suggest an approach,Re-prioritize tasks calmly,Comfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Adjust priorities,Learn and attempt,Communicate early with solutions
2/10/2026 17:51:20,2nd,Try to figure it out without asking,Focus only on finishing somehow,Slightly uncomfortable,Actively coordinate and unblock,Fix silently,Miss some tasks,Try basic solutions,Communicate when asked
2/10/2026 18:17:55,2nd,Clarify and suggest an approach,Re-prioritize tasks calmly,Very comfortable,Manage sometimes,Fix silently,Adjust priorities,Learn and attempt,Communicate when asked
2/10/2026 18:22:54,2nd,Ask immediately and proceed,Focus only on finishing somehow,Very uncomfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Adjust priorities,Learn and attempt,Communicate early
2/10/2026 18:26:31,2nd,Ask immediately and proceed,Re-plan and communicate clearly,Slightly uncomfortable,Manage sometimes,"Inform, fix, and prevent recurrence",Adjust priorities,Learn and attempt,Don’t communicate
2/10/2026 18:38:11,4th,Try to figure it out without asking,Focus only on finishing somehow,Comfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Adjust priorities,Learn and attempt,Communicate when asked
2/10/2026 18:39:55,2nd,Try to figure it out without asking,Adjust plan partially,Neutral,Plan around dependencies,Inform and fix,Handle with difficulty,Wait for guidance,Communicate when asked
2/10/2026 19:03:13,2nd,Try to figure it out without asking,Focus only on finishing somehow,Very uncomfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Handle with difficulty,Learn and attempt,Communicate early with solutions
2/10/2026 19:20:58,2nd,Try to figure it out without asking,Focus only on finishing somehow,Slightly uncomfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Confidently re-prioritize,Learn and attempt,Communicate early
2/10/2026 19:32:33,1st,Try to figure it out without asking,Adjust plan partially,Very uncomfortable,Actively coordinate and unblock,Fix silently,Adjust priorities,Try basic solutions,Communicate when asked
2/10/2026 19:59:04,1st,Wait for someone else to clarify,Re-plan and communicate clearly,Very uncomfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Confidently re-prioritize,Learn and attempt,Communicate early with solutions
2/10/2026 20:04:13,2nd,Try to figure it out without asking,Focus only on finishing somehow,Very uncomfortable,Plan around dependencies,Fix silently,Confidently re-prioritize,Avoid it,Communicate when asked
2/10/2026 20:48:07,2nd,Try to figure it out without asking,Focus only on finishing somehow,Neutral,Manage sometimes,Try to hide it,Confidently re-prioritize,Learn quickly and solve,Communicate early
2/11/2026 8:10:08,2nd,Try to figure it out without asking,Re-prioritize tasks calmly,Comfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Adjust priorities,Learn and attempt,Communicate early with solutions
2/11/2026 9:52:33,2nd,Ask immediately and proceed,Re-plan and communicate clearly,Comfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Adjust priorities,Learn and attempt,Communicate early with solutions
2/11/2026 9:53:19,2nd,Try to figure it out without asking,Re-prioritize tasks calmly,Slightly uncomfortable,Frequently get stuck,Inform and fix,Miss some tasks,Wait for guidance,Communicate very late
2/11/2026 9:53:35,2nd,Clarify and suggest an approach,Re-prioritize tasks calmly,Very comfortable,Actively coordinate and unblock,Fix silently,Confidently re-prioritize,Avoid it,Communicate early with solutions
2/11/2026 9:53:50,2nd,Wait for someone else to clarify,Panic and slow down,Very uncomfortable,Wait until others finish,Try to hide it,Miss some tasks,Avoid it,Don’t communicate
2/11/2026 10:01:02,2nd,Wait for someone else to clarify,Focus only on finishing somehow,Slightly uncomfortable,Plan around dependencies,Fix silently,Confidently re-prioritize,Avoid it,Communicate when asked
2/11/2026 10:02:17,2nd,Wait for someone else to clarify,Panic and slow down,Neutral,Actively coordinate and unblock,Fix silently,Get confused,Try basic solutions,Communicate very late
2/11/2026 10:47:34,2nd,Try to figure it out without asking,Focus only on finishing somehow,Slightly uncomfortable,Plan around dependencies,Fix silently,Miss some tasks,Learn and attempt,Communicate very late
2/11/2026 14:20:41,2nd,Clarify and suggest an approach,Re-plan and communicate clearly,Comfortable,Actively coordinate and unblock,Fix silently,Confidently re-prioritize,Learn quickly and solve,Communicate early
2/12/2026 16:02:06,2nd,Wait for someone else to clarify,Adjust plan partially,Slightly uncomfortable,Wait until others finish,Fix silently,Adjust priorities,Learn and attempt,Don’t communicate
3/10/2026 12:59:46,2nd,Clarify and suggest an approach,Re-prioritize tasks calmly,Slightly uncomfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Adjust priorities,Learn quickly and solve,Communicate early
3/10/2026 14:30:36,2nd,Ask immediately and proceed,Adjust plan partially,Very comfortable,Actively coordinate and unblock,Fix silently,Handle with difficulty,Learn and attempt,Communicate very late
3/10/2026 14:41:23,2nd,Try to figure it out without asking,Panic and slow down,Neutral,Manage sometimes,Inform and fix,Adjust priorities,Wait for guidance,Communicate early with solutions
3/10/2026 14:42:17,2nd,Clarify and suggest an approach,Re-prioritize tasks calmly,Neutral,Plan around dependencies,"Inform, fix, and prevent recurrence",Confidently re-prioritize,Learn and attempt,Communicate early with solutions
3/10/2026 14:43:32,2nd,Wait for someone else to clarify,Re-plan and communicate clearly,Neutral,Frequently get stuck,"Inform, fix, and prevent recurrence",Miss some tasks,Avoid it,Communicate very late
3/10/2026 15:18:45,2nd,Try to figure it out without asking,Re-plan and communicate clearly,Comfortable,Plan around dependencies,"Inform, fix, and prevent recurrence",Adjust priorities,Learn and attempt,Communicate early
3/10/2026 15:21:40,2nd,Wait for someone else to clarify,Focus only on finishing somehow,Very uncomfortable,Actively coordinate and unblock,Fix silently,Get confused,Wait for guidance,Communicate when asked
3/10/2026 15:26:49,2nd,Try to figure it out without asking,Panic and slow down,Slightly uncomfortable,Actively coordinate and unblock,Fix silently,Get confused,Wait for guidance,Communicate when asked
3/10/2026 15:53:00,2nd,Ask immediately and proceed,Re-prioritize tasks calmly,Comfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Adjust priorities,Learn and attempt,Communicate early with solutions
3/10/2026 16:25:44,2nd,Wait for someone else to clarify,Focus only on finishing somehow,Slightly uncomfortable,Wait until others finish,Fix silently,Get confused,Try basic solutions,Communicate when asked
3/10/2026 16:30:33,2nd,Ask immediately and proceed,Re-plan and communicate clearly,Very uncomfortable,Manage sometimes,"Inform, fix, and prevent recurrence",Adjust priorities,Try basic solutions,Communicate early
3/10/2026 21:35:15,2nd,Try to figure it out without asking,Adjust plan partially,Neutral,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Get confused,Learn and attempt,Communicate when asked
3/10/2026 21:43:58,2nd,Try to figure it out without asking,Focus only on finishing somehow,Neutral,Plan around dependencies,"Inform, fix, and prevent recurrence",Confidently re-prioritize,Learn quickly and solve,Communicate early with solutions
3/10/2026 21:48:18,2nd,Try to figure it out without asking,Re-prioritize tasks calmly,Slightly uncomfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Confidently re-prioritize,Learn quickly and solve,Communicate early with solutions
3/10/2026 22:08:16,2nd,Ask immediately and proceed,Focus only on finishing somehow,Slightly uncomfortable,Manage sometimes,Fix silently,Confidently re-prioritize,Learn and attempt,Communicate early with solutions
3/10/2026 23:55:06,2nd,Try to figure it out without asking,Focus only on finishing somehow,Comfortable,Plan around dependencies,Inform and fix,Adjust priorities,Wait for guidance,Communicate early with solutions
3/11/2026 9:01:22,2nd,Clarify and suggest an approach,Panic and slow down,Comfortable,Actively coordinate and unblock,Ignore and move on,Get confused,Try basic solutions,Communicate early with solutions
3/12/2026 14:19:46,2nd,Ask immediately and proceed,Focus only on finishing somehow,Neutral,Manage sometimes,Inform and fix,Handle with difficulty,Learn and attempt,Communicate when asked
3/17/2026 16:15:57,2nd,Clarify and suggest an approach,Re-prioritize tasks calmly,Neutral,Wait until others finish,"Inform, fix, and prevent recurrence",Get confused,Wait for guidance,Communicate when asked
3/17/2026 16:16:32,4th,Ask immediately and proceed,Adjust plan partially,Very uncomfortable,Actively coordinate and unblock,Try to hide it,Adjust priorities,Learn and attempt,Don’t communicate
3/17/2026 16:16:46,1st,Wait for someone else to clarify,Focus only on finishing somehow,Slightly uncomfortable,Plan around dependencies,Fix silently,Handle with difficulty,Avoid it,Communicate when asked
3/17/2026 16:17:02,2nd,Clarify and suggest an approach,Re-plan and communicate clearly,Slightly uncomfortable,Plan around dependencies,"Inform, fix, and prevent recurrence",Get confused,Try basic solutions,Don’t communicate
3/17/2026 16:17:20,2nd,Ask immediately and proceed,Re-prioritize tasks calmly,Very uncomfortable,Frequently get stuck,Try to hide it,Handle with difficulty,Learn and attempt,Communicate very late
3/17/2026 16:17:41,2nd,Try to figure it out without asking,Re-plan and communicate clearly,Very comfortable,Frequently get stuck,Ignore and move on,Miss some tasks,Learn quickly and solve,Communicate early
3/17/2026 16:17:56,2nd,Ask immediately and proceed,Adjust plan partially,Comfortable,Manage sometimes,"Inform, fix, and prevent recurrence",Get confused,Try basic solutions,Communicate very late
3/17/2026 16:18:11,2nd,Clarify and suggest an approach,Re-prioritize tasks calmly,Neutral,Frequently get stuck,Ignore and move on,Miss some tasks,Learn quickly and solve,Communicate early
3/17/2026 16:18:24,2nd,Ask after some time,Panic and slow down,Slightly uncomfortable,Plan around dependencies,Fix silently,Handle with difficulty,Avoid it,Communicate very late
3/17/2026 16:18:39,2nd,Ask immediately and proceed,Adjust plan partially,Comfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Adjust priorities,Try basic solutions,Communicate very late
3/17/2026 16:18:53,4th,Ask immediately and proceed,Adjust plan partially,Very uncomfortable,Actively coordinate and unblock,"Inform, fix, and prevent recurrence",Get confused,Try basic solutions,Communicate early
3/17/2026 16:19:09,2nd,Try to figure it out without asking,Focus only on finishing somehow,Slightly uncomfortable,Plan around dependencies,Fix silently,Get confused,Try basic solutions,Communicate early
3/17/2026 16:19:35,2nd,Ask after some time,Focus only on finishing somehow,Slightly uncomfortable,Manage sometimes,"Inform, fix, and prevent recurrence",Get confused,Try basic solutions,Communicate very late
3/17/2026 16:22:58,2nd,Try to figure it out without asking,Re-prioritize tasks calmly,Comfortable,Wait until others finish,"Inform, fix, and prevent recurrence",Handle with difficulty,Learn and attempt,Communicate when asked
3/17/2026 16:23:21,2nd,Ask immediately and proceed,Adjust plan partially,Very comfortable,Actively coordinate and unblock,Fix silently,Handle with difficulty,Avoid it,Communicate very late
3/17/2026 17:11:59,2nd,Ask after some time,Focus only on finishing somehow,Comfortable,Plan around dependencies,Fix silently,Handle with difficulty,Try basic solutions,Communicate very late
3/17/2026 17:12:16,2nd,Clarify and suggest an approach,Re-plan and communicate clearly,Neutral,Wait until others finish,Inform and fix,Adjust priorities,Try basic solutions,Communicate early
3/17/2026 17:12:32,2nd,Clarify and suggest an approach,Adjust plan partially,Neutral,Actively coordinate and unblock,Try to hide it,Adjust priorities,Wait for guidance,Communicate early